date;precipitation
01.05.2017;72,45
02.05.2017;72,45
03.05.2017;72,45
04.05.2017;72,45
05.05.2017;72,45
06.05.2017;72,45
08.05.2017;72,45
09.05.2017;72,45
10.05.2017;72,45
11.05.2017;72,45
12.05.2017;72,45
13.05.2017;72,45
15.05.2017;72,45
16.05.2017;72,45
17.05.2017;72,45
19.05.2017;72,45
20.05.2017;72,45
21.05.2017;72,45
23.05.2017;72,45
24.05.2017;72,45
25.05.2017;72,45
26.05.2017;72,45
27.05.2017;72,45
28.05.2017;72,45
29.05.2017;72,45
30.05.2017;72,45
31.05.2017;72,45
01.06.2017;72,45
02.06.2017;72,45
05.06.2017;72,45
06.06.2017;72,45
07.06.2017;72,45
08.06.2017;72,45
09.06.2017;72,75
10.06.2017;72,75
11.06.2017;72,75
12.06.2017;72,75
13.06.2017;72,75
14.06.2017;72,75
15.06.2017;72,75
16.06.2017;72,75
17.06.2017;72,75
19.06.2017;72,75
20.06.2017;72,75
22.06.2017;72,75
23.06.2017;72,75
24.06.2017;72,75
25.06.2017;72,75
26.06.2017;72,75
27.06.2017;72,75
28.06.2017;72,75
29.06.2017;72,75
30.06.2017;72,75
01.07.2017;72,75
02.07.2017;72,75
03.07.2017;72,75
04.07.2017;72,75
05.07.2017;72,75
06.07.2017;72,75
07.07.2017;72,75
08.07.2017;72,75
09.07.2017;72,75
10.07.2017;72,75
11.07.2017;72,75
12.07.2017;72,75
13.07.2017;72,75
14.07.2017;72,75
15.07.2017;72,75
