"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","azimuthTime","azimuthAnxTime","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20231009T140836_20231009T140903_050689_061B86_0DE6","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","50689","42","470","2023-10-09T14:09:03.724019Z","2023-10-09T14:08:36Z","SLC","2023-10-09T14:08:36Z","2023-10-09T14:09:03Z","36.5053","-121.3383","37.108334","-119.748337","37.506348","-122.575508","35.486862","-120.13797","35.886433","-122.904221","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231009T140836_20231009T140903_050689_061B86_0DE6.zip","7345.263553619385","","","0","S1A_IWDV_0470_0476_050689_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230927T140836_20230927T140903_050514_061584_F90D","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","50514","42","470","2023-09-27T14:09:03.703786Z","2023-09-27T14:08:36Z","SLC","2023-09-27T14:08:36Z","2023-09-27T14:09:03Z","36.5055","-121.3394","37.108727","-119.749435","37.506687","-122.576584","35.486877","-120.139099","35.886395","-122.905319","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230927T140836_20230927T140903_050514_061584_F90D.zip","7345.203155517578","","","0","S1A_IWDV_0470_0476_050514_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230915T140836_20230915T140903_050339_060F86_2F8B","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","50339","42","470","2023-09-15T14:09:03.500804Z","2023-09-15T14:08:36Z","SLC","2023-09-15T14:08:36Z","2023-09-15T14:09:03Z","36.5052","-121.3398","37.108467","-119.749794","37.50642","-122.577057","35.486618","-120.139427","35.886131","-122.905762","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230915T140836_20230915T140903_050339_060F86_2F8B.zip","3911.859761238098","","","0","S1A_IWDV_0470_0476_050339_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230903T140836_20230903T140903_050164_06099B_C3B2","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","50164","42","470","2023-09-03T14:09:03.137213Z","2023-09-03T14:08:36Z","SLC","2023-09-03T14:08:36Z","2023-09-03T14:09:03Z","36.5053","-121.3402","37.108849","-119.750191","37.506809","-122.577271","35.4865","-120.139984","35.886021","-122.90612","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230903T140836_20230903T140903_050164_06099B_C3B2.zip","3916.841142654419","","","0","S1A_IWDV_0470_0476_050164_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230822T140835_20230822T140902_049989_06039A_9E8A","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","49989","42","470","2023-08-22T14:09:02.199363Z","2023-08-22T14:08:35Z","SLC","2023-08-22T14:08:35Z","2023-08-22T14:09:02Z","36.5038","-121.3391","37.106998","-119.749191","37.504986","-122.576248","35.485268","-120.138847","35.884811","-122.904976","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230822T140835_20230822T140902_049989_06039A_9E8A.zip","3916.392596244812","","","0","S1A_IWDV_0470_0476_049989_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230810T140833_20230810T140900_049814_05FD9D_67F9","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","49814","42","470","2023-08-10T14:09:00.932370Z","2023-08-10T14:08:33Z","SLC","2023-08-10T14:08:33Z","2023-08-10T14:09:00Z","36.5044","-121.336","37.107563","-119.746002","37.505577","-122.573143","35.485836","-120.135674","35.885414","-122.901886","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230810T140833_20230810T140900_049814_05FD9D_67F9.zip","3931.2765712738037","","","0","S1A_IWDV_0470_0476_049814_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230729T140834_20230729T140901_049639_05F813_8AFA","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","49639","42","470","2023-07-29T14:09:01.042890Z","2023-07-29T14:08:34Z","SLC","2023-07-29T14:08:34Z","2023-07-29T14:09:01Z","36.5043","-121.3408","37.10751","-119.750923","37.505451","-122.577896","35.485889","-120.140518","35.885391","-122.906578","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230729T140834_20230729T140901_049639_05F813_8AFA.zip","4076.3079776763916","","","0","S1A_IWDV_0470_0476_049639_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230717T140833_20230717T140900_049464_05F2A8_0203","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","49464","42","470","2023-07-17T14:09:00.428473Z","2023-07-17T14:08:33Z","SLC","2023-07-17T14:08:33Z","2023-07-17T14:09:00Z","36.5043","-121.3408","37.10743","-119.751015","37.505348","-122.57795","35.485813","-120.140587","35.885292","-122.906616","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230717T140833_20230717T140900_049464_05F2A8_0203.zip","3971.9398193359375","","","0","S1A_IWDV_0470_0476_049464_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230705T140832_20230705T140859_049289_05ED46_7FFB","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","49289","42","470","2023-07-05T14:08:59.535731Z","2023-07-05T14:08:32Z","SLC","2023-07-05T14:08:32Z","2023-07-05T14:08:59Z","36.5043","-121.3401","37.107449","-119.750298","37.505371","-122.577293","35.485958","-120.139839","35.885441","-122.905922","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230705T140832_20230705T140859_049289_05ED46_7FFB.zip","3955.400444984436","","","0","S1A_IWDV_0470_0476_049289_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230611T140831_20230611T140858_048939_05E291_EAFC","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","48939","42","470","2023-06-11T14:08:58.104628Z","2023-06-11T14:08:31Z","SLC","2023-06-11T14:08:31Z","2023-06-11T14:08:58Z","36.505","-121.3394","37.108181","-119.749527","37.506138","-122.576538","35.486443","-120.139175","35.885963","-122.905266","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230611T140831_20230611T140858_048939_05E291_EAFC.zip","3981.5660037994385","","","0","S1A_IWDV_0470_0476_048939_042","","","","","","","","","","",""
